Date,Open,High,Low,Close,Adj Close,Volume
2022-11-02,39.220001,40.070000,38.459999,38.520000,38.434525,13324200
2022-11-03,37.779999,38.740002,37.650002,38.509998,38.424545,12128600
2022-11-04,39.389999,39.740002,38.459999,39.000000,38.913460,15089600
2022-11-07,39.360001,39.470001,38.689999,39.389999,39.302593,11526900
2022-11-08,39.470001,39.509998,38.509998,39.049999,38.963348,10946400
2022-11-09,38.549999,38.869999,38.029999,38.060001,37.975548,10526200
2022-11-10,39.150002,40.599998,38.860001,39.740002,39.651821,20197600
2022-11-11,39.860001,41.580002,39.820000,41.119999,41.028755,13035200
2022-11-14,41.009998,41.189999,39.919998,39.930000,39.841396,14968900
2022-11-15,40.700001,41.369999,40.009998,40.240002,40.150711,12390000
2022-11-16,39.750000,39.860001,38.470001,38.470001,38.384636,12032500
2022-11-17,38.029999,39.599998,37.470001,38.639999,38.554260,26006900
2022-11-18,39.500000,39.990002,39.040001,39.770000,39.681751,22849200
2022-11-21,39.439999,39.720001,39.000000,39.520000,39.432308,12281900
2022-11-22,39.889999,40.270000,39.630001,39.970001,39.881310,8394400
2022-11-23,39.849998,40.200001,39.570000,40.110001,40.021000,9097000
2022-11-25,39.810001,40.470001,39.810001,40.459999,40.370220,4615300
2022-11-28,39.919998,40.369999,39.310001,39.380001,39.292618,19395400
2022-11-29,39.619999,40.040001,39.540001,39.750000,39.661797,10582400
2022-11-30,39.980000,40.560001,39.230000,40.560001,40.470001,14805900
2022-12-01,40.770000,41.380001,40.419998,40.430000,40.430000,12335100
2022-12-02,39.860001,40.139999,39.549999,39.900002,39.900002,9222800
2022-12-05,39.470001,39.619999,38.689999,38.790001,38.790001,7633200
2022-12-06,38.930000,39.090000,37.349998,38.020000,38.020000,12775500
2022-12-07,37.669998,38.330002,37.560001,37.959999,37.959999,11613800
2022-12-08,38.070000,38.259998,37.599998,38.200001,38.200001,8622500
2022-12-09,37.849998,38.560001,37.779999,38.279999,38.279999,8862900
2022-12-12,38.320000,38.669998,38.020000,38.490002,38.490002,13873200
2022-12-13,39.660000,40.009998,38.529999,38.770000,38.770000,12154500
2022-12-14,38.740002,39.090000,37.959999,38.360001,38.360001,11964600
2022-12-15,37.790001,37.799999,37.189999,37.619999,37.619999,11293600
2022-12-16,37.029999,37.200001,35.869999,36.150002,36.150002,27529700
2022-12-19,36.279999,36.400002,35.360001,35.419998,35.419998,12248000
2022-12-20,35.259998,35.590000,34.779999,35.200001,35.200001,10934300
2022-12-21,35.720001,36.029999,35.470001,35.900002,35.900002,9959900
2022-12-22,35.169998,35.180000,33.279999,33.529999,33.529999,20227800
2022-12-23,33.680000,33.880001,33.180000,33.830002,33.830002,10619100
2022-12-27,33.520000,33.750000,33.020000,33.320000,33.320000,9984400
2022-12-28,33.320000,33.500000,32.520000,32.529999,32.529999,9550900
2022-12-29,32.820000,33.669998,32.820000,33.669998,33.669998,11634900
2022-12-30,33.330002,33.759998,33.230000,33.639999,33.639999,11792200
